variety,country,province,winery,price,points,expert wine description
Grüner Veltliner,Austria,Kamptal,Brandl,28.0,92.0,"An almost honeyed nose tells of the 2015 ripeness, but instead leads to a concentrated palate that intriguingly combines peppery spice, savory herbs and rich mellow yeast. All this richness is tempered by a streamlined lemony acidity. This is savory, so make sure to pair it with subtle, expressive food. What a joy."
Chardonnay,US,Oregon,Durant,28.0,92.0,"This single-clone, estate-grown wine shows exemplary concentration. Deeply sculpted fruit flavors roll from peach to papaya, with streaks of buttery caramel. Everything is in proportion, with a most pleasing finish."
Moscatel,Spain,Northern Spain,Ochoa,28.0,92.0,"This smells like orange marmalade. It feels smooth and creamy, but not terribly thick due to fine acidity, with flavors of orange, honey, peach and spice. Long and creamy on the finish, this is a fresh, delicious wine that should impress anyone with a sweet tooth."
Viognier,US,California,Sol Rouge,28.0,92.0,"This puff-pastry of a wine has a vivid gold color, enticing bread-dough aromas and lush texture. Ripe peach and honey flavors are layered with butterscotch and mineral notes that lead to a lingering finish. Full-boded, well-balanced and delightful."
Chardonnay,US,California,Mercy,28.0,92.0,"Light and delicate aromas of lime curd, vanilla yogurt and a touch of pear custard show in a very pleasing manner on the nose of this vineyard-blend bottling. The palate is expertly rounded, with wet riverstone, yellow apple, lime zest and creamy white fruit like cherimoya and ripe nectarine."
Riesling,Germany,Mosel-Saar-Ruwer,Schmitges,28.0,92.0,"This is an exotic, flashy wine, marked by layers of ripe, sweet tropical fruit. Honey, peaches and mangoes are plump and mouthfilling, but end with elegance and finesse, making for a finely balanced wine worthy of the two-star accolade."
Riesling,Germany,Mosel-Saar-Ruwer,Kurt Hain,28.0,92.0,"Rich, viscous and sweet, this is a spätlese that punches above its weight. A bit of dried apricot hints at the inclusion of some botrytized grapes, while the rest of the fruit shows superripe flavors of peaches and honey. This is long on the finish, clinging to the palate. Imported by Chapin Cellars, LLC."
Merlot,US,California,Ballentine,28.0,92.0,"This concentrated Merlot is blended with smaller percentages of Petit Verdot, Cabernet Sauvignon, Cabernet Franc and Syrah. Dense in black licorice and toasty oak, the fruit character is dominated by red plum and berry aromas and flavors."
Zinfandel,US,California,Ridge,28.0,92.0,"A vineyard blend that includes 16% Petite Sirah, 2% Carignane, 4% Mataro and 1% Alicante Bouschet. Meaty, funky and ripe, with intense fruit, lots of earthy, barnyardy accents, and a long, tannic finish. This is old style Zin, no holds barred, with full-throttle flavors for aficionados."
Pinot Noir,US,Oregon,Domaine Divio,28.0,92.0,"Made with a minimal-intervention mind-set, this marries classic French winemaking to tight, almost steely Willamette Valley fruit. It's a taut, tense wine, focused on raspberry/cherry fruit, with firm, chocolate-tinged tannins. Highlights of malted milk and tobacco sneak into the extended finish."
Cabernet Sauvignon,Israel,Judean Hills,Jerusalem Wineries,28.0,92.0,"Inky-ruby colored, this wine has a complex bouquet of strawberry, watermelon, chocolate, violet and bell pepper. There is a nice interplay of fruit and cool herb notes, featuring flavors of black cherry, orange zest, eucalyptus and mint. A strong but subdued network of tannins recedes at the finish, making way for a pleasing jolt of bright acidity."
Sangiovese,Italy,Tuscany,Salcheto,28.0,92.0,"You'll discover alluring aromas of grilled herb, saddle leather, cured meat and ripe berry in this enticing red. The palate is succulent and juicy, offering red cherry, crushed raspberry, white pepper and clove flavors. It's buttressed by bright acidity and youthfully firm, refined tannins for balance and a structure built for ageing. Drink 2018–2028."
Syrah,US,California,Fenestra,28.0,92.0,"This late-release wine from a Livermore stalwart smells spicy and exotically fruity, with herbal/menthol and cigar box accents. On the palate it is rich, generous, deep and broad-textured, lush in feel and full-bodied. The essence is like warm blackberry jam but without being sweet. All the goodness lingers on finish."
Cabernet Sauvignon,Australia,South Australia,Alpha Crucis,28.0,92.0,"While the trend among many Australian Cabernets is towards moderate, silky tannin structures, this austere, firm wine embraces its dry, dusty nature. Cedar and toast frame big cassis fruit, ending with chewy tannins. Drink 2018–2028."
Syrah,US,Washington,Kevin White,28.0,92.0,"A blend of fruit from Olsen, Elephant Mountain and Boushey vineyards, this wine is expressive, with aromas of smoke, high-toned herb, dark raspberry, blue fruit and mineral. The flavors are fresh and focused, putting a premium on elegance with a finish that sails."
Rhône-style White Blend,US,California,Bonny Doon,28.0,92.0,"Crisp and clean aromas of chalk and lime pith meet with riper touches of honeydew and Anjou pear on the nose of this blend of 66% Grenache Blanc and 34% Roussanne, which hints at a biting acidity on the sip. The freshness extends to the palate, where riper guava tones are deftly cut by citrus peels and finished with a minty lift. The structure is tense and ideal, while the acidity is available but not overwhelming."
Nebbiolo,US,California,Prima Materia,28.0,92.0,"Showing great restraint and structure, this wine is complex, savory and brings a welcome change from the usual fruity soft California wine. It smells lightly spicy, beefy and earthy, tastes mild but deep, with fascinating flavors like smoked meat, tea, raspberry and cola."
Grenache,US,California,Calavera Wines,28.0,92.0,"An intoxicatingly sensual Grenache, velvety and light in cherry and strawberry fruit, smooth earth, a streak of anise and deep swirls of chocolate and caramel on the finish. The Dalton Vineyard in Calaveras County has been one to watch for in Syrah and Zinfandel; it can now add Grenache."
Merlot,US,Washington,Tamarack Cellars,28.0,92.0,"Tamarack blends grapes from an astonishing number of sites scattered across the length and breadth of the Columbia Valley, and yet makes wines that are distinctive, polished, generous, and focused. The 2008 Merlot includes 5% each Cabernet Sauvignon and Cab Franc. Its structure is firmly Cab-like, its fruit broadly displayed across the midpalate, a mix of ripe strawberries and cherries dusted with sweet baking spices and cocoa. It's a joyride from start to finish."
Provence red blend,France,Provence,Commanderie de la Bargemone,28.0,92.0,"At five years, this balanced, ripe wine is both elegant and concentrated. Fine tannins support the red cherry and black berry fruits, with layers of acidity and minerality. The wine, well balanced, is ready to drink."
Grüner Veltliner,Austria,Kamptal,Summerer,28.0,92.0,"Beautifully smooth, this ripe wine contrasts its rich peach and pineapple flavors with a squeezed lime note and taut acidity. With its intensely-fruity finish, this is a wine for aging."
Merlot,US,Washington,Dumas Station,28.0,92.0,"Three quarters Merlot, with 17% Cabernet Franc and 8% Cabernet Sauvignon, this is a bit lighter than the 2007 Merlot, but just as good, if not better. Lush and loaded with black cherry, blackberry, cocoa and baking spices, it extends deliciously and seamlessly into a long, ripe, smooth finish."
Zinfandel,US,California,Easton,28.0,92.0,"From old vines dating to 1865, this is a hugely fragrant mountainous Zinfandel, with an abundance of raspberry and blackberry flavors. A wine with a huge presence and soft, rounded tannins, it's extremely yummy with a ton of peppery spice on the long finish."
Tinta de Toro,Spain,Northern Spain,Teso La Monja,28.0,92.0,"This has an opaque purple color, with a supremely concentrated and potent dark-fruited bouquet. Feels amped up, warm and exotic, with black fruit flavors alongside notes of peppery spice and bitter chocolate. Toasty and chocolaty on the finish. Drink now through 2016."
Tinto del Pais,Spain,Northern Spain,Traslanzas,28.0,92.0,"By far this is the best Traslanzas I've come across. It is pure, with aromas of cola, mineral, black cherry and the mildest note of raisin. On the palate, it feels concentrated, with big tannins pushing sweet, dark flavors of blackberry, fig, chocolate and licorice. Tastes lightly toasted and feels big on the finish. Drink now through 2018."
Riesling,US,Oregon,Alexana,28.0,92.0,"Rich, medium dry, and loaded with lemon, orange and citrus scents and flavors, this is a marvelous wine graced with a lush, textural, mineral-drenched mouthfeel. Despite the low alcohol there is just the gentlest touch of sweetness from 8 g/L residual sugar."
Sangiovese,Italy,Tuscany,Casa al Vento,28.0,92.0,"Aria is a stunning Chianti Classico, boasting earthy, underbrush aromas with hints of subdued oak. The palate delivers fabulous, juicy plum and black-cherry layered with well integrated vanilla and espresso. It's still tight and tannic so give this a few more years."
Bordeaux-style Red Blend,US,Washington,Cadence,28.0,92.0,"This blend of Cabernet Franc (46%), Merlot (28%), Cabernet Sauvignon (17%) and Petit Verdot (9%) starts out brooding, with black cherry, herb, black currant, anise, and spice notes. The palate is rich and structured, loaded with dark fruit flavors and firm tannins. Give it some time to open up."
Nero d'Avola,Italy,Sicily & Sardinia,Valle dell'Acate,28.0,92.0,"Ripe dark-skinned berry, underbrush, new oak, vanilla leather, sage and cured meat aromas meld in the glass. The full-bodied palate offers dried black cherry, raisin, fig, licorice and exotic spice alongside velvety tannins."
Merlot,US,Washington,Stevens,28.0,92.0,"Winemaker Tim Stevens' dark, subtle, beautifully proportioned wines glide across the palate like Apollo Ono dancing with the stars. The cool site brings out some of the floral and citrus accents often missing from Merlot, and the darker cherry and plum fruit flavors fill in right behind. Supple and sensuous, this is a wine to savor and, if possible, cellar for another decade."
